headline,wiebe,afinn,sent
Spanish officials find migrant trying to reach Europe hidden in car engine,-4.0,2.0,-33.0
Ukip will launch its own No campaign against staying in the EU,4.0,-2.0,76.0
Ukip will launch its own No campaign against staying in the EU,4.0,-2.0,76.0
Royalists slam David Starkey as 'venomous' for claims about the Queen,-9.0,-4.0,98.0
Shadae Worrell left scarred in Bristol street attack 'because she is too beautiful',-8.0,3.0,-12.0
"Widower Samuel Rae was targeted by 12 scam firms and lost £35,000",-4.0,-8.0,-2.0
Scientists are set to uncover the secrets of Doggerland,0.0,0.0,94.0
Woman raped in Cheadle's John Lewis car park by 'pockmarked' attacker ,0.0,0.0,-5.0
X Factor's Chloe Paige auditions while wearing a Hindu 'bindi' jewel,0.0,2.0,63.0
Birmingham family heartbroken after their bulldog is 'thrown 60ft to his death',-4.0,-8.0,-6.0
Catholic priests to get power to forgive abortion,13.0,3.0,-24.0
Taste for staycations creates £960m camping giant,0.0,0.0,-44.0
Farage: EU’s ‘idiotic’ asylum policy has caused migrant crisis,-10.0,-12.0,-1.0
"UK should take 10,000 refugees, says Yvette Cooper",0.0,0.0,77.0
No place for Andrew Trimble in squad as Ireland take scrum-half gamble,-4.0,-2.0,69.0
Nico Hulkenberg commits to Force India for another two years,-5.0,2.0,82.0
Everton midfielder Darron Gibson admits drunken car smash,-19.0,-3.0,56.99999999999999
Americans square up for Aga hotpot,0.0,0.0,69.0
Q&A: why David De Gea deal collapsed ... and what happens next,4.0,-3.0,-4.0
Manufacturing hit by waning overseas demand,-17.0,-7.000000000000001,90.0
A job centre for jihadists: Evil Islamic State launch BENEFITS system within 'caliphate',-4.0,-2.0,91.0
Morocco terror warning: Officials raise threat level to HIGH for British holidaymakers,-17.0,-13.0,100.0
Europe breaking up? EU could scrap free movement in wake of migrant crisis,0.0,-3.0,-19.0
"Hungary near breaking: Budapest station shut as 1,000 migrants try to board trains to West",-3.0,0.0,50.0
How a butterfly's wings holds the secret to incredible breakthroughs in medicine,12.0,0.0,80.0
Finally..... Accurate weather forecasts are around the corner,6.0,0.0,94.0
Give the dog a home! Dog Maggie's woof deal after 11 years at a charity and STILL no owner,5.0,-1.0,62.0
Outrage as Auschwitz installs SHOWERS to help tourists cope with the heat,-4.0,-2.0,65.0
Britain's biggest charities 'sold on dementia sufferer's details 200 TIMES to conmen',-7.000000000000001,0.0,93.0
Premier League star Darron Gibson admits driving into THREE cyclists while over limit,8.0,-2.0,-38.0
"EU faces a migrant crisis of 'biblical proportions' but Britain should still take 10,000 refugees, says Yvette Cooper - live",0.0,-3.0,65.0
In pictures: Vladimir Putin - man of action,0.0,0.0,87.0
Dutch government to appeal court ruling on greenhouse gases,17.0,0.0,52.0
The all-seeing eye in the sky: Satellites capture news around the world,0.0,0.0,-26.0
Elephant taps on window at safari park lodge in South Africa,0.0,0.0,-40.0
"Australia's Nauru detention centre 'not safe for children', says Senate inquiry",4.0,-2.0,-22.0
Hillary Clinton's latest emails: 10 things we've learned,5.0,0.0,72.0
Miley Cyrus slammed for 'blatant sexualisation' and 'illegal drugs' after hosting VMAs,-13.0,-5.0,99.0
Drunken Britons cause 'carnage' in 'Hong Kong's Magaluf',-22.0,0.0,-12.0
The EU migrant crisis explained in 90 seconds,-6.0,-8.0,-7.000000000000001
Hungary closes main Budapest station to refugees,0.0,0.0,46.0
EU referendum: Cameron accepts advice to change wording of question,5.0,2.0,94.0
Hillary Clinton emails: Cherie Blair lobbied for Qatari crown prince,0.0,0.0,-36.0
Kentucky clerk defies gay marriage court order again 'under God's authority',8.0,3.0,94.0
Pope Francis tells priests to pardon women who have abortions,10.0,4.0,65.0
"Help for dying RAF cadet delayed by 30 minutes, inquest hears",0.0,2.0,-26.0
Turkey charges Vice News reporters with aiding terrorist group,-11.0,-11.0,57.99999999999999
Woman pleads guilty to posting revenge porn photos of girlfriend,-15.0,-10.0,79.0
Bangladesh police charge 'Islamist militants' over atheist's murder,-6.0,-4.0,-17.0
Julian Assange: documents show 'fancy dress' escape plan,13.0,-3.0,-18.0
Ukraine crisis: Prime Minister Arseniy Yatsenyuk says nationalist protesters are worse than separatists after violence that left one dead,-8.0,-15.0,-2.0
Ukraine crisis: Prime Minister says nationalist protesters are worse than the separatists following violence that left one dead,-8.0,-16.0,-9.0
Teenage girl 'fakes pregnancy with FakeABaby.com after losing triplets at six weeks',-8.0,-9.0,-10.0
Suspect in Texas deputy shooting has history of mental illness,-10.0,-6.0,-10.0
Hillary Clinton emails: The story behind a brief message on a quintessentially Jewish food,0.0,0.0,-18.0
"Nazi 'gold train' explained: Is the train real, what is inside it and what are the authorities doing?",6.0,-3.0,87.0
Kim Davis: Court clerk has become a hero of America's Christian right by refusing gay people the right to wed,19.0,0.0,85.0
Kentucky clerk Kim Davis refuses to issue same-sex marriage licences and claims to be acting on 'God's authority',0.0,2.0,89.0
Man found with 100g of potent form of cannabis called 'shatter',0.0,0.0,-27.0
Pope Francis extends church forgiveness to women who have abortions - if they admit 'sin',7.000000000000001,0.0,77.0
