,mixed,wiebe,afinn
Embarrassing symptoms could be deadly female CANCER,-19,-29,-9
Morocco terror warning: Officials raise threat level to HIGH for British holidaymakers,-15,-17,-13
Woman pleads guilty to posting revenge porn photos of girlfriend,-12.5,-15,-10
Manufacturing hit by waning overseas demand,-12,-17,-7
Ukraine crisis: Prime Minister says nationalist protesters are worse than the separatists following violence that left one dead,-12,-8,-16
Flipper trainer arrested on eve of Japan's bloody Taiji dolphin massacre,-11.5,-13,-10
Ukraine crisis: Prime Minister Arseniy Yatsenyuk says nationalist protesters are worse than separatists after violence that left one dead,-11.5,-8,-15
Drunken Britons cause 'carnage' in 'Hong Kong's Magaluf',-11,-22,0
Everton midfielder Darron Gibson admits drunken car smash,-11,-19,-3
Turkey charges Vice News reporters with aiding terrorist group,-11,-11,-11
Farage: EU’s ‘idiotic’ asylum policy has caused migrant crisis,-11,-10,-12
Miley Cyrus slammed for 'blatant sexualisation' and 'illegal drugs' after hosting VMAs,-9,-13,-5
Teenage girl 'fakes pregnancy with FakeABaby.com after losing triplets at six weeks',-8.5,-8,-9
Suspect in Texas deputy shooting has history of mental illness,-8,-10,-6
The EU migrant crisis explained in 90 seconds,-7,-6,-8
Royalists slam David Starkey as 'venomous' for claims about the Queen,-6.5,-9,-4
"Widower Samuel Rae was targeted by 12 scam firms and lost £35,000",-6,-4,-8
"BEFORE & AFTER: How ISIS completely obliterated 2,000-year-old temple in ancient Palmyra",-5,-7,-3
Michelle Carter: Teenager 'pressured boyfriend to kill himself by sending him hundreds of text messages',-5,-3,-7
Bradford man killed by driver who was distracted as she sent texts,-4,0,-8
PICTURED: Mystery surrounds dead fish washed-up on beach that even seagulls won't touch,-3.5,-7,0
"Blood Moon: ISIS, nuclear bombs and Walmart plumbing woe 'prove' world WILL end in 28 days",-3,-6,0
No place for Andrew Trimble in squad as Ireland take scrum-half gamble,-3,-4,-2
A job centre for jihadists: Evil Islamic State launch BENEFITS system within 'caliphate',-3,-4,-2
Shadae Worrell left scarred in Bristol street attack 'because she is too beautiful',-2.5,-8,3
BREAKING: Family 'heading for Syria' detained in Turkey,-2.5,0,-5
Turkish authorities detain British family feared to be Syria-bound,-2,0,-4
Nico Hulkenberg commits to Force India for another two years,-1.5,-5,2
"Hungary near breaking: Budapest station shut as 1,000 migrants try to board trains to West",-1.5,-3,0
"That sinking feeling! £120,000 Bentley Continental gets stuck in the sand after 'Russian' owner drives it on to Cornish beach - and has to be pulled out by tractor ",-1.5,-2,-1
Europe breaking up? EU could scrap free movement in wake of migrant crisis,-1.5,0,-3
"EU faces a migrant crisis of 'biblical proportions' but Britain should still take 10,000 refugees, says Yvette Cooper - live",-1.5,0,-3
German police forced to ask public to stop bringing donations for refugees arriving by train,-1.5,0,-3
Spanish officials find migrant trying to reach Europe hidden in car engine,-1,-4,2
Why you could have diabetes and not know it,0,0,0
Taste for staycations creates £960m camping giant,0,0,0
"UK should take 10,000 refugees, says Yvette Cooper",0,0,0
Americans square up for Aga hotpot,0,0,0
In pictures: Vladimir Putin - man of action,0,0,0
The all-seeing eye in the sky: Satellites capture news around the world,0,0,0
Elephant taps on window at safari park lodge in South Africa,0,0,0
Hungary closes main Budapest station to refugees,0,0,0
Hillary Clinton emails: Cherie Blair lobbied for Qatari crown prince,0,0,0
French woman Natalie Amyot makes YouTube video to find man she claims made her pregnant in Australia,0,0,0
Hillary Clinton emails: The story behind a brief message on a quintessentially Jewish food,0,0,0
Q&A: why David De Gea deal collapsed ... and what happens next,0.5,4,-3
"Help for dying RAF cadet delayed by 30 minutes, inquest hears",1,0,2
Ukip will launch its own No campaign against staying in the EU,1,4,-2
Ukip will launch its own No campaign against staying in the EU,1,4,-2
"Australia's Nauru detention centre 'not safe for children', says Senate inquiry",1,4,-2
"Nazi 'gold train' explained: Is the train real, what is inside it and what are the authorities doing?",1.5,6,-3
EU referendum's reworded question welcomed by experts and campaigners,2,0,4
Hillary Clinton's latest emails: 10 things we've learned,2.5,5,0
Julian Assange: documents show 'fancy dress' escape plan,5,13,-3
Kentucky clerk defies gay marriage court order again 'under God's authority',5.5,8,3
How a butterfly's wings holds the secret to incredible breakthroughs in medicine,6,12,0
Pope Francis tells priests to pardon women who have abortions,7,10,4
Catholic priests to get power to forgive abortion,8,13,3
Dutch government to appeal court ruling on greenhouse gases,8.5,17,0
Kim Davis: Court clerk has become a hero of America's Christian right by refusing gay people the right to wed,9.5,19,0
